.rownames;Chi.Square;d.f.;P
priority  (Factor+Higher Order Factors);523.541857513663;24;0
 All Interactions;70.8129976444344;20;1.34097591364402e-07
issuetype  (Factor+Higher Order Factors);449.031606803504;36;0
 All Interactions;96.4779808426203;30;6.62721422184376e-09
is_assigned  (Factor+Higher Order Factors);430.293767392888;6;0
 All Interactions;191.102414970675;5;0
comment_count  (Factor+Higher Order Factors);3816.69092549657;18;0
 All Interactions;152.520198341823;15;0
 Nonlinear (Factor+Higher Order Factors);2336.46367259821;12;0
link_count  (Factor+Higher Order Factors);61.1706269554933;12;1.37986398973666e-08
 All Interactions;51.167167429328;10;1.6266588176439e-07
 Nonlinear (Factor+Higher Order Factors);37.3077404064168;6;1.53361426202814e-06
affect_count;175.773274347808;2;0
 Nonlinear;48.7254420382083;1;2.94420043900345e-12
fix_count  (Factor+Higher Order Factors);5068.08588341679;6;0
 All Interactions;927.754664276593;5;0
has_priority_change;29.7296960615842;1;4.96681142880817e-08
has_desc_change;9.72511377765684;1;0.00181767068005678
has_fix_change  (Factor+Higher Order Factors);5330.45780363098;6;0
 All Interactions;685.218014151955;5;0
reporter_rep;1105.28364207625;3;0
 Nonlinear;464.475167593194;2;0
assignee_workload;8.59914537133727;3;0.0351236848207587
 Nonlinear;6.03137350645036;2;0.0490121646644106
priority * tgroup  (Factor+Higher Order Factors);70.8129976444344;20;1.34097591364402e-07
tgroup * issuetype  (Factor+Higher Order Factors);96.4779808426203;30;6.62721422184376e-09
tgroup * is_assigned  (Factor+Higher Order Factors);191.102414970675;5;0
tgroup * comment_count  (Factor+Higher Order Factors);152.520198341823;15;0
 Nonlinear;124.638517637498;10;0
 Nonlinear Interaction : f(A,B) vs. AB;124.638517637498;10;0
tgroup * link_count  (Factor+Higher Order Factors);51.167167429328;10;1.6266588176439e-07
 Nonlinear;9.64297633398016;5;0.0860069631590865
 Nonlinear Interaction : f(A,B) vs. AB;9.64297633398016;5;0.0860069631590865
tgroup * fix_count  (Factor+Higher Order Factors);927.754664276593;5;0
tgroup * has_fix_change  (Factor+Higher Order Factors);685.218014151955;5;0
TOTAL NONLINEAR;2953.70914167583;23;0
TOTAL INTERACTION;1838.56220272085;90;0
TOTAL NONLINEAR + INTERACTION;5070.76865152268;98;0
TOTAL;31683.7063435239;118;0
