,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
2,1,3,*3,1,  2, 1, 0,0,0,0, 0,0.50000000, 1
26,1,3,1,1, 13, 0, 1,0,*1,0, 0,0.72727273, 2
88,1,*5,4,1,  5, 0, 0,1,1,0, 1,0.33333333, 1
157,1,3,1,1,  4, 0, 1,1,0,0, 1,*0.12500000, 3
540,1,3,4,1,  2, 1, 0,0,0,0, 0,*0.20000000, 3
896,1,3,*2,1, 24, 2, 1,1,0,1, 2,0.50000000, 5
941,1,3,4,1, 36, 2, 1,1,*2,0, 1,0.82222222, 1
1010,1,*4,1,1, 14, 1, 1,0,0,0, 0,0.72093023, 6
1086,1,3,*7,1,  9, 0, 1,1,0,0, 1,0.75000000, 4
1173,1,4,1,1,  9, 3, 2,2,1,0, 1,*0.08333333, 1
1239,1,4,1,*0, 11, 1, 1,0,0,0, 1,0.76595745,15
1304,1,*5,4,1, 11, 0, 0,1,0,0, 1,0.50000000, 2
1383,1,*2,4,1, 87,11, 2,1,1,0, 1,0.66666667, 2
1435,1,*2,1,1, 10, 0, 2,3,0,0, 1,0.64516129, 6
1507,11,*5,*1,1,*  5,* 1,* 0,*7,*1,*0,* 0,*0.83333333,* 2
1541,1,3,*2,1, 14, 0, 1,0,0,0, 0,0.25000000, 1
1602,2,3,4,1,120,*22, 1,1,0,*2, 1,0.75000000, 5
1708,2,*1,1,1,  8, 0, 1,2,0,0, 1,0.88888889,* 1
1709,7,*1,1,1, 11,* 1,* 1,2,*0,*0, 1,*0.88888889,* 1
1711,1,*1,1,1, 12, 1, 2,2,0,0, 1,0.88888889, 1
1712,1,*1,1,1, 13, 1, 2,2,0,0, 1,0.88888889, 1
1715,2,*1,1,1, 13, 2, 2,2,0,0, 1,0.89130435,* 1
1755,1,3,1,1,  4, 0, 0,0,0,*2, 0,0.55555556, 7
1853,2,4,1,*0,  5, 1, 1,0,0,0,* 0,0.63888889,11
1860,1,*2,1,1,  3, 1, 1,0,0,0, 0,0.80434783, 8
1968,1,*5,1,1,  5, 0, 1,2,1,0, 1,0.55555556,13
2000,1,*2,1,1,  7, 0, 3,3,0,0, 1,0.73437500,21
2175,1,*2,1,1, 15, 0, 3,3,0,0, 1,0.73484848,21
2257,1,3,*2,1, 53, 3, 1,1,0,0, 1,0.70588235, 1
2264,1,3,*3,1,  1, 0, 1,1,0,0, 0,0.52631579,11
2270,2,3,*3,1,*  0, 0, 1,1,0,0, 0,0.52631579,11
2276,2,3,*3,1,*  0, 0, 1,1,0,0, 0,0.52631579,11
2282,2,3,*3,1,*  0, 0, 1,1,0,0, 0,0.52631579,11
2288,2,3,*3,1,*  0, 0, 1,1,0,0, 0,0.52631579,11
2294,1,3,*3,1,  2, 0, 1,1,0,0, 0,0.52631579,12
2339,1,*2,1,1, 40, 2, 1,1,1,0, 1,0.78571429,22
2439,1,*2,4,1,  5, 1, 3,2,0,0, 1,0.71969697,24
2443,1,*2,4,1,  6, 2, 3,2,0,0, 1,0.73484848,23
2552,1,3,*2,1,  6, 8, 1,1,0,0, 2,0.84545455, 3
2695,1,3,7,1, 15, 0, 0,1,0,0, 1,*0.14285714, 4
2790,1,4,*6,1,  2, 1, 0,2,0,0, 1,0.33333333, 1
2791,1,4,*6,1,  4, 1, 0,2,0,0, 1,0.66666667, 1
2893,2,3,1,1, 34, 4, 2,4,*2,1,* 1,0.66332378, 4
3034,2,*5,1,1,  6, 0, 1,2,0,0, 1,*0.13333333,18
3151,2,3,4,*0,  5, 0, 0,0,0,0,* 0,0.90020367, 9
3156,1,3,1,1,  8, 0, 0,1,0,0, 1,*0.18181818, 6
3159,1,3,1,1,  7, 0, 1,0,0,0, 0,0.75000000,* 1
3280,1,*2,1,1, 16, 0, 1,2,0,1, 1,0.52631579, 9
3400,1,3,7,1, 82, 0, 0,2,0,0, 1,*0.18181818, 2
3964,1,3,4,1,  4, 0, 1,2,0,*2, 1,0.75000000, 2
4014,1,3,4,1,  5, 0, 1,0,0,*2, 3,0.90476190, 1
4189,1,4,*2,1, 12, 0, 1,1,0,0, 1,0.66666667, 1
4429,1,1,1,1, 22, 0,* 4,1,0,0, 1,0.83333333, 7
4465,1,*5,1,1,  7, 0, 0,1,0,1, 1,0.75000000, 1
4526,1,*2,1,1,  5, 1, 1,1,0,0, 0,0.81773399, 5
5490,1,3,*2,1, 47,11, 1,1,0,1, 1,0.66666667, 1
5613,1,3,*2,1, 23, 0, 2,0,0,0, 0,0.75000000, 1
5730,5,*4,1,1, 23, 1, 0,*0,0,*2,* 0,0.90188679,* 1
5737,2,4,1,1, 28, 2, 0,0,0,*2,* 0,0.93454545, 1
5752,1,4,1,1,*  0, 1, 1,1,0,1, 1,0.48333333,17
5808,1,3,*6,1,  5, 1, 1,0,0,1, 1,0.38461538, 3
5812,1,*2,1,1, 11, 1, 1,1,1,0, 1,0.73076923, 2
6083,1,3,1,*0,  4, 1, 1,0,0,0, 0,0.50000000,20
6126,1,3,1,1,  9, 0, 0,1,0,0, 1,*0.42424242, 8
6228,1,3,7,1,  7, 1, 0,1,0,*2, 1,0.62222222, 8
