,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
109,1,3,*6,1,  6, 0, 0, 1,0,0, 1,0.57142857,11
337,1,3,*2,1,  3, 0, 1, 1,0,1, 0,0.40000000, 8
373,1,5,*5,1,  1, 0, 0, 0,0,0, 0,0.61111111, 5
447,1,3,*6,1, 17, 0, 0, 1,0,1, 1,0.78356164,11
674,1,3,*6,1, 11, 0, 0, 2,0,0, 1,0.76900585, 7
716,1,4,4,*0,  0, 1, 0, 0,0,1, 2,0.81927711,45
797,1,3,2,1, 76,*11, 0, 2,0,0, 2,0.90149254,17
832,1,3,4,*0, 15, 2, 1, 0,0,0, 5,0.60606061, 8
904,1,*5,1,1,  2, 0, 2, 2,0,0, 0,0.82700422,15
1154,1,3,4,*0,  5, 1, 0, 0,0,0, 1,0.75215146,45
1256,1,4,*6,1,  1, 0, 0, 0,0,0, 0,0.80670103,12
1263,1,5,*6,1,  7, 0, 4, 0,0,0, 0,0.74509804, 3
1425,1,*5,1,1,  4, 0, 0, 4,0,0, 1,0.57291667,10
1442,1,4,*6,1,  3, 0, 0, 0,0,0, 0,0.93832599, 7
1451,1,4,*6,1,  3, 1, 0, 0,0,0, 0,0.96116505, 5
1625,1,4,*6,1,  8, 0, 0, 2,0,0, 1,0.78356164,13
1907,1,3,*2,1,  5, 0, 1, 1,0,0, 1,0.71543086, 7
2338,1,3,*6,1,  8, 0, 0, 2,0,0, 1,0.76770538,11
2371,1,3,*3,1, 37, 0, 2, 1,0,0, 5,0.82352941, 4
2382,1,3,1,*0, 16, 2, 2, 0,0,0, 4,0.66666667,16
2585,1,3,4,1,136, 2, 0, 1,*3,0, 6,0.84615385, 1
2795,1,3,*6,1,  6, 0, 0, 0,0,0, 0,0.78356164,12
2880,1,3,1,*0,  0, 1, 1, 0,0,0, 0,0.75215146,45
2891,1,5,4,1,  6, 0, 1, 1,0,*2, 0,0.45833333, 5
3034,1,3,7,*0, 10, 0, 0, 0,0,0, 0,0.82758621, 7
3227,2,4,*3,1, 37, 0, 0, 0,*1,0, 2,0.78201635,12
3247,1,4,3,*0, 39, 1, 0, 0,1,0, 2,0.90022422,12
3289,1,3,*6,1, 28, 0, 0, 1,0,1, 1,0.84888889, 8
3379,1,3,*2,1,  5, 1, 0, 0,0,0, 0,0.84931507, 7
3574,2,4,*2,1,  2, 0, 1, 1,0,0, 0,*0.20000000, 3
3640,1,3,1,*0, 14, 2, 0, 1,0,1, 1,0.68421053, 7
3647,2,2,1,*0, 16, 3, 0, 0,1,*2, 4,0.68421053, 7
3732,1,3,1,1,  9, 4, 2, 2,*2,0, 2,0.71595331,52
3734,1,3,1,*0,  1, 0, 1, 0,0,0, 2,0.71595331,52
3750,1,3,3,1,  5, 0, 0, 0,*2,0, 2,0.33333333, 9
3878,1,3,4,1, 28, 0, 0, 2,0,0, 2,*0.16666667, 2
3908,1,1,1,1, 11, 0, 1, 2,1,0, 3,*0.25000000,14
3953,1,4,*6,1,  1, 0, 0, 1,0,0, 0,0.57692308, 3
4239,1,3,*2,1, 26, 0, 0, 3,0,0, 5,0.88040712, 2
4427,2,3,1,1, 14, 0, 0, 4,0,*1, 1,0.56521739,* 1
4444,1,3,*6,1,  5, 0, 0, 1,0,0, 1,0.78042328, 5
4649,1,3,*2,1,  3, 0, 1, 1,0,1, 0,0.72222222,92
4650,1,3,*6,1,  3, 0, 1, 2,0,0, 1,0.83333333, 6
