,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
164,1,*5,3,1, 2, 0,1,1,0, 0, 0,0.65909091, 7
165,1,*5,3,1, 2, 0,1,1,0, 0, 0,0.64444444, 7
168,1,*5,3,1, 3, 0,1,1,0, 0, 0,0.71111111, 6
173,1,*5,3,1,20, 1,1,1,0, 0, 0,0.73333333, 5
272,1,*1,1,1, 2, 0,1,1,0, 0, 1,0.77027027,25
327,1,*2,1,1, 2, 0,1,1,0, 0, 1,0.76851852, 4
435,1,3,1,1, 4, 0,0,1,*2, 1, 1,0.47457627, 4
465,1,*1,1,1, 3, 0,1,1,0, 0, 1,0.48148148,11
468,1,*4,3,1, 5, 1,0,0,0, 0, 0,0.78518519,19
469,2,3,*4,1, 2,* 1,0,1,0, 1, 0,0.79220779,62
471,6,3,*4,1, 2, 0,*0,*1,0, 0,* 0,*0.79220779,*62
666,1,3,*4,1, 4, 0,0,1,0, 0, 0,0.60000000, 7
774,1,3,1,*0,11, 1,0,1,0, 0, 1,0.41379310, 9
779,1,3,1,*0,11, 1,0,1,0, 0, 1,0.40909091, 9
1007,1,*2,3,1, 9, 0,0,0,0, 0, 0,0.81818182,16
1081,1,3,1,1,26,*14,0,1,0, 1, 0,0.53424658,18
1094,1,3,1,*0, 1, 0,0,1,0, 0, 0,0.70967742,13
1198,1,3,1,*0, 1, 0,0,1,0, 0, 2,0.74193548,11
1280,1,3,3,1, 3, 0,1,1,0, 1, 0,*0.20000000, 3
1292,1,*1,1,1, 1, 0,0,1,0, 1, 1,0.41463415, 3
1293,1,3,1,1, 0, 0,1,*3,0, 1, 0,0.71428571,13
1304,1,3,1,*0, 3, 0,1,1,0, 2, 3,0.76470588,10
1395,1,*1,1,1, 0, 0,1,1,0, 0, 0,0.41176471, 4
1612,1,3,*6,1, 2, 0,0,1,0, 0, 0,0.71212121,26
1629,2,*5,*6,1, 1, 0,0,1,0, 0, 0,0.78947368, 1
1630,1,3,*4,1, 4, 0,1,1,0, 0, 0,0.72222222, 6
1636,2,*2,1,1, 1, 0,1,*2,0, 0, 1,0.78181818,10
1785,1,*2,1,1, 1, 0,1,1,0, 0, 1,0.77130045, 5
1884,1,5,2,1, 0, 1,0,1,*4, 0, 0,0.80985915,20
1885,1,5,2,1, 0, 1,0,1,*4, 0, 0,0.82638889,20
1886,1,5,2,1, 0, 1,0,1,*4, 0, 0,0.81081081,20
1887,1,5,2,1, 0, 1,0,1,*4, 0, 0,0.83108108,20
1888,2,*5,2,1, 0, 1,0,1,*4, 0, 0,0.85234899,20
1889,3,*5,*2,1, 0, 1,0,1,*4, 0, 0,0.86666667,20
2040,1,3,3,1, 6, 0,0,1,0,* 2, 0,0.44444444, 5
2081,1,3,3,1,19, 1,0,1,0,* 3, 0,0.42307692, 5
2352,2,3,7,1,12,* 9,0,1,0,*12, 1,0.62686567, 5
2389,1,3,7,1, 8, 2,0,1,0,* 3, 1,0.75000000, 8
2546,3,*5,*6,1, 5, 0,0,1,0, 1, 1,0.77272727,* 1
2547,2,*5,*6,1, 7, 0,0,1,0, 1, 1,0.82608696, 1
2589,1,3,*6,1, 6, 0,0,0,0, 0, 0,0.72727273, 5
2590,1,3,*6,1, 8, 0,0,1,0, 0, 1,0.77272727, 5
2593,1,*2,1,1, 1, 0,0,1,0, 0, 1,0.54166667,67
2734,1,2,1,*0, 0, 0,0,1,0, 0, 1,0.81730769,12
2794,1,3,4,*0, 2, 0,0,0,0, 0, 0,0.46511628,67
2818,1,3,4,1, 4, 1,1,1,*1, 0, 1,0.50000000, 5
2829,1,*4,4,1, 7, 1,1,1,0, 1, 1,0.53472222, 5
3024,1,*4,3,1, 7, 0,0,0,0, 0, 0,0.58823529, 3
3030,2,*4,3,1, 6, 0,1,1,0,* 2, 0,0.70588235, 4
3035,1,3,3,1, 1, 1,0,1,0, 1, 0,*0.23529412, 7
3100,1,3,1,*0, 1, 0,0,1,0, 0, 0,0.40594059,11
3157,1,*4,3,1, 4, 0,2,1,0, 0, 0,0.61764706, 5
3252,1,2,*6,1, 6, 0,0,1,0, 0, 0,0.71084337,11
3253,2,*2,*6,1, 6, 0,0,1,0, 0, 0,0.71084337,10
3550,1,3,1,1, 5, 0,1,1,0,* 2, 1,0.81250000,10
3660,1,3,*2,1, 7, 1,1,1,0, 0, 1,0.29629630, 8
3703,2,*1,1,1, 1, 0,1,*2,0, 0, 0,0.51111111, 9
3707,1,*1,1,1, 2, 0,1,1,0, 0, 1,0.46296296, 9
3779,1,4,*5,1, 6, 0,1,0,1, 1, 0,0.68627451,19
3782,1,4,*5,1, 6, 0,1,0,1, 1, 0,0.70588235,16
3784,1,4,*5,1, 6, 0,1,0,1, 1, 0,0.71153846,16
3788,1,4,*5,1, 6, 0,1,0,1, 1, 0,0.73584906,15
3789,1,4,*5,1, 6, 0,1,0,1, 1, 0,0.75471698,15
3833,1,3,7,*0, 2, 0,0,1,0, 0, 5,0.65517241,12
3924,1,*4,4,1, 1, 0,0,1,0, 0, 1,0.28571429,26
4025,1,3,*2,1, 3, 3,0,1,0, 0, 1,0.84375000, 3
4051,1,3,*2,1, 3, 1,1,1,0, 0, 1,0.79577465, 2
4053,1,3,1,*0, 1, 0,0,1,0, 1, 0,0.40594059,13
4060,4,3,*1,1, 5,* 1,*0,1,0,* 2, 1,0.76388889, 5
4069,1,2,1,1,14, 0,*3,1,0, 0, 1,0.51851852,28
4148,1,2,3,*0, 0, 1,1,1,0, 0, 0,0.27272727,10
4236,1,*1,1,1, 5, 0,1,1,0, 0, 2,0.70870871, 5
4315,1,3,1,*0, 7, 0,1,1,0, 0, 0,0.61194030, 1
4368,1,2,1,1, 6, 0,*5,1,0, 1, 0,0.50000000, 1
4369,1,2,1,1, 7, 0,*5,1,0, 1, 0,0.50000000, 1
4371,4,*2,1,1, 8, 1,*5,1,0,* 2, 0,0.40000000,* 1
4381,1,2,1,1,24, 1,*5,1,0, 3, 0,0.37500000, 1
4383,2,2,1,1,27, 1,*5,1,0,* 3, 0,0.50000000, 1
4435,1,*4,4,1, 3, 0,0,0,0, 0, 0,0.66197183,68
4438,1,*4,4,1, 5, 0,0,0,0, 0, 0,0.65753425,71
4447,2,*1,4,*0, 2, 0,0,1,0, 0, 0,0.62686567, 8
4546,1,3,*2,1, 8, 4,0,1,0, 0, 1,0.75510204, 4
4588,1,3,*6,1, 1, 1,0,0,0, 0, 0,0.76000000,19
4613,1,3,*6,1, 6, 0,0,1,0, 2, 1,0.72727273, 3
4700,1,3,3,1,14, 2,0,1,0,* 4, 1,0.43333333, 5
4736,1,4,*2,1, 9, 1,1,1,1, 1, 1,0.50000000, 1
4743,2,3,1,1, 4, 0,*2,*0,0, 0, 0,0.71428571, 5
4785,1,4,1,1, 6, 0,0,1,*1, 0, 1,0.61135371,11
4931,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.71428571, 6
4934,1,3,*6,1, 5, 0,0,1,0, 0, 1,0.72727273, 6
4948,1,2,*2,1, 3, 1,1,1,1, 0, 0,0.68478261,20
4975,2,3,3,1, 7, 0,0,1,*2,* 3, 1,0.64285714, 2
4976,2,3,3,1, 8, 0,0,1,*2,* 4, 1,0.64285714, 2
4978,2,3,3,1,11, 0,0,1,*2,* 4, 1,0.66666667, 2
5038,1,2,4,1, 2, 0,0,1,*1, 1, 0,0.78571429,21
5182,1,3,1,1, 1, 1,0,1,*1, 0, 0,0.59624413,16
5187,1,*1,1,1, 3, 0,1,1,0, 0, 0,0.76651982, 7
5373,1,2,7,1, 8, 3,0,1,1, 0,* 7,0.81355932,28
5574,1,3,1,1,18, 1,*3,1,0, 1, 1,0.60810811, 5
5837,1,3,3,1, 3, 1,1,1,*2, 0, 0,0.68539326,23
5859,1,*1,1,1, 1, 0,1,1,0, 1, 0,0.75949367,29
5883,3,*4,*6,1,* 4, 0,0,1,0, 0, 1,0.76000000, 6
5884,1,4,*6,1, 7, 0,0,1,0, 0, 1,0.76000000, 6
5885,1,4,*6,1, 9, 0,0,1,0, 0, 1,0.76000000, 6
5886,1,4,*6,1,12, 0,0,1,0, 0, 1,0.80000000, 6
5967,1,3,1,1, 1, 1,1,1,0, 0,* 6,0.77906977, 6
5995,2,*5,*6,1, 5, 0,0,1,0, 2, 1,0.69230769, 3
6320,1,3,3,1, 1,* 9,0,0,0, 0, 0,0.58241758,10
6342,1,*5,1,1, 1, 0,1,1,0, 1, 1,0.61016949, 9
6421,1,3,*4,1, 4, 0,0,1,0, 0, 1,0.68181818, 7
6443,1,4,*6,1, 4, 0,0,1,0, 0, 1,0.67901235, 3
6499,1,3,*2,1, 3, 1,0,1,0, 0, 1,0.78571429, 8
6517,1,*2,1,1, 5, 2,0,1,0, 0, 1,0.54973822, 8
6559,2,*4,1,1, 3, 0,0,1,0,* 1, 1,0.64383562, 5
6568,1,*4,1,1, 6, 0,0,1,0, 1, 1,0.62962963, 2
6664,2,*1,3,1, 0, 0,0,1,0, 0, 0,*0.05555556, 9
6796,1,2,*2,1, 3, 1,0,1,1, 1, 1,0.77777778, 7
6808,2,3,*7,1, 5, 0,0,1,0, 0, 1,*0.84112150,16
6950,1,*4,3,1, 4, 0,0,0,0, 0, 0,0.52941176, 5
6953,1,*4,3,1, 5, 0,0,0,0, 0, 0,0.64705882, 4
7040,1,2,1,1, 3, 0,1,1,*1, 0, 0,0.69662921,27
7160,1,*4,3,0, 9, 0,1,0,0, 0, 4,0.77551020,10
7321,1,*4,1,0, 0, 1,1,0,0, 1, 4,0.76754386, 7
7354,1,3,*2,1, 3, 2,0,1,0, 0, 1,0.79577465, 6
7364,1,3,*2,1, 1, 2,0,1,0, 0, 1,0.83108108, 9
