issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change	has_desc_change	comment_count
HBASE-14520	0	5	0	3	1	4	0	0	1
HBASE-14520	5	6	1	3	1	4	0	0	5
HBASE-5387	0	1	0	2	1	1	1	1	22
HBASE-5387	1	2	1	2	1	1	1	1	33
HBASE-19275	0	249	0	3	0	7	0	1	1
HBASE-19275	249	318	0	3	1	7	0	1	3
HBASE-19275	318	319	0	3	1	7	0	1	6
HBASE-19275	319	320	1	3	1	7	0	1	7
HBASE-2601	0	1	0	3	0	6	0	0	2
HBASE-2601	1	1515	1	3	0	6	0	0	3
HBASE-3786	0	517	0	3	0	4	0	0	7
HBASE-3786	517	2042	1	3	0	4	0	0	8
HBASE-4838	0	1	0	3	1	7	0	0	2
HBASE-4838	1	2	0	3	1	7	0	0	3
HBASE-4838	2	4	0	3	1	7	0	0	8
HBASE-4838	4	5	0	3	1	7	0	0	9
HBASE-4838	5	6	1	3	1	7	0	0	16
HBASE-9881	0	31	0	5	0	1	0	1	2
HBASE-9881	31	88	0	5	0	1	0	1	3
HBASE-9881	88	93	0	5	0	1	0	1	4
HBASE-9881	93	95	1	5	0	1	0	1	6
HBASE-19450	0	1	0	4	1	4	0	0	4
HBASE-19450	1	5	0	4	1	4	0	0	10
HBASE-19450	5	6	0	4	1	4	0	0	12
HBASE-19450	6	7	0	4	1	4	0	0	13
HBASE-19450	7	11	0	4	1	4	0	0	17
HBASE-19450	11	530	0	4	1	4	0	0	18
HBASE-11241	0	7	0	3	0	5	0	0	2
HBASE-11241	7	19	0	3	1	5	0	0	2
HBASE-11241	19	641	0	3	1	5	0	0	3
HBASE-11241	641	1824	0	3	1	5	0	0	9
HBASE-8404	0	10	1	3	0	1	0	0	1
HBASE-17513	0	72	0	2	0	1	0	0	3
HBASE-17513	72	312	0	2	0	1	0	0	4
HBASE-17513	312	329	0	2	0	1	0	0	5
HBASE-17513	329	330	0	2	1	1	0	0	10
HBASE-17513	330	331	0	2	1	1	0	0	16
HBASE-17513	331	338	0	2	1	1	0	0	17
HBASE-17513	338	361	0	2	1	1	0	0	18
HBASE-17513	361	362	0	2	1	1	0	0	19
HBASE-17513	362	363	0	2	1	1	0	0	24
HBASE-17513	363	364	1	2	1	1	0	0	30
HBASE-15235	0	1	1	3	1	1	0	0	1
HBASE-5281	0	4	0	3	0	1	0	0	1
HBASE-5281	4	5	0	3	1	1	0	0	5
HBASE-5281	5	6	1	3	1	1	0	0	6
HBASE-13237	0	1	1	4	1	3	0	0	3
HBASE-11204	0	14	0	4	0	3	0	0	1
HBASE-11204	14	15	0	4	1	3	0	0	1
HBASE-11204	15	16	1	4	1	3	0	0	4
HBASE-19491	0	7	0	3	1	4	0	0	4
HBASE-19491	7	8	0	3	1	4	0	1	4
HBASE-19491	8	9	1	3	1	4	0	1	15
HBASE-2502	0	62	0	3	0	1	0	0	1
HBASE-2502	62	554	0	3	0	1	0	0	2
HBASE-2502	554	1387	0	3	0	1	0	0	3
HBASE-2502	1387	1388	0	3	0	1	0	0	4
HBASE-2502	1388	1468	0	3	0	1	0	0	5
HBASE-2502	1468	1690	0	3	0	1	0	0	6
HBASE-2502	1690	1744	0	3	0	1	0	0	7
HBASE-2502	1744	3309	0	3	0	1	0	0	8
