issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-14520	0	6	1	3	1	4	0
HBASE-5387	0	2	1	2	1	1	1
HBASE-19275	0	249	0	3	0	7	0
HBASE-19275	249	320	1	3	1	7	0
HBASE-2601	0	1515	1	3	0	6	0
HBASE-3786	0	2042	1	3	0	4	0
HBASE-4838	0	6	1	3	1	7	0
HBASE-9881	0	95	1	5	0	1	0
HBASE-19450	0	525	0	4	1	4	0
HBASE-11241	0	7	0	3	0	14	0
HBASE-11241	7	1819	0	3	1	14	0
HBASE-8404	0	10	1	3	0	1	0
HBASE-17513	0	329	0	2	0	1	0
HBASE-17513	329	364	1	2	1	1	0
HBASE-15235	0	1	1	3	1	1	0
HBASE-5281	0	4	0	3	0	1	0
HBASE-5281	4	6	1	3	1	1	0
HBASE-13237	0	1	1	4	1	3	0
HBASE-11204	0	14	0	4	0	3	0
HBASE-11204	14	16	1	4	1	3	0
HBASE-19491	0	9	1	3	1	4	0
HBASE-2502	0	3304	0	3	0	1	0
HBASE-7424	0	82	1	4	0	2	0
HBASE-15810	0	1101	0	3	0	1	0
HBASE-18505	0	71	0	2	0	1	1
HBASE-18505	71	72	1	2	1	1	1
HBASE-10083	0	1390	1	3	1	4	0
HBASE-636	0	68	0	3	0	2	0
HBASE-636	68	124	0	3	1	2	0
HBASE-636	124	159	1	1	1	2	1
HBASE-4374	0	43	1	1	0	3	0
HBASE-11365	0	1	1	3	0	1	0
HBASE-10674	0	148	0	3	0	7	0
HBASE-10674	148	154	1	3	1	7	0
HBASE-5894	0	8	1	4	1	1	0
HBASE-21838	0	1	0	3	0	7	0
HBASE-21838	1	2	1	3	1	7	0
HBASE-3867	0	72	1	2	0	1	0
HBASE-4159	0	2	1	3	1	4	0
HBASE-12406	0	2	1	3	1	1	0
HBASE-3688	0	2	1	3	0	1	0
HBASE-2287	0	7	1	3	1	1	0
HBASE-6497	0	2478	0	3	0	4	0
HBASE-16609	0	1	1	3	1	1	0
HBASE-9666	0	22	1	3	0	1	0
HBASE-7624	0	46	0	3	0	1	0
HBASE-7624	46	55	1	3	1	1	0
HBASE-4019	0	17	1	4	1	4	0
HBASE-6400	0	6	1	3	1	4	0
HBASE-4946	0	1	0	3	0	1	0
HBASE-4946	1	6	1	3	1	1	0
HBASE-5968	0	205	1	3	1	1	0
HBASE-18110	0	1	0	3	0	7	0
HBASE-18110	1	77	0	2	0	7	1
HBASE-18110	77	159	0	1	0	7	1
HBASE-18110	159	168	0	1	1	7	1
HBASE-18110	168	204	1	1	1	14	1
HBASE-11217	0	1	1	2	1	1	0
HBASE-20311	0	413	0	4	1	1	0
HBASE-15299	0	2	1	3	0	1	0
HBASE-5142	0	1190	1	3	0	7	0
HBASE-7639	0	199	0	3	1	1	0
HBASE-7639	199	200	1	3	1	1	0
HBASE-11489	0	4	0	3	0	1	0
HBASE-11489	4	5	1	3	1	1	0
HBASE-19759	0	142	0	4	0	7	0
HBASE-19759	142	490	0	4	1	7	0
HBASE-20330	0	8	1	3	1	1	0
HBASE-10075	0	1955	1	3	0	2	0
HBASE-16573	0	981	0	3	1	1	0
HBASE-3649	0	31	1	3	1	4	0
HBASE-3354	0	260	0	3	0	6	0
HBASE-3354	260	485	1	3	1	6	0
HBASE-3378	0	648	1	3	0	1	0
HBASE-21975	0	76	0	3	1	4	0
HBASE-5898	0	2	0	3	0	4	0
HBASE-5898	2	198	1	2	1	4	1
HBASE-11386	0	497	0	4	1	1	0
HBASE-11386	497	515	0	2	1	1	1
HBASE-11386	515	1247	1	2	1	1	1
HBASE-3271	0	640	1	3	0	4	0
HBASE-8651	0	15	0	4	0	1	0
HBASE-8651	15	16	1	4	1	1	0
HBASE-14308	0	2	0	4	0	3	0
HBASE-14308	2	83	1	4	1	3	0
HBASE-18474	0	3	0	3	0	1	0
HBASE-18474	3	657	0	3	1	1	0
HBASE-5359	0	56	1	3	0	1	0
HBASE-16612	0	1	1	4	1	1	0
HBASE-16412	0	586	1	4	0	3	0
HBASE-3415	0	1557	1	3	0	1	0
HBASE-13440	0	1498	0	3	0	1	0
HBASE-11252	0	1	1	3	1	1	0
HBASE-15673	0	1	1	3	1	1	0
HBASE-20960	0	294	0	3	0	7	0
HBASE-20657	0	2	0	3	0	1	0
HBASE-20657	2	7	0	3	1	1	0
HBASE-20657	7	58	0	2	1	1	1
HBASE-20657	58	352	0	2	1	1	1
HBASE-3028	0	2	1	3	0	1	0
HBASE-13601	0	1	1	3	1	1	0
HBASE-1672	0	5	1	3	0	1	0
HBASE-19506	0	132	1	3	0	7	0
HBASE-15183	0	94	1	3	1	3	0
HBASE-14153	0	6	1	5	0	1	0
HBASE-7510	0	2320	0	3	0	1	0
HBASE-10943	0	1	0	4	0	4	0
HBASE-10943	1	1784	1	4	1	4	0
HBASE-21122	0	262	0	3	0	4	0
HBASE-19712	0	3	1	3	1	1	0
HBASE-18133	0	274	1	3	1	4	0
HBASE-19	0	20	1	3	0	1	0
HBASE-8451	0	1	1	2	1	1	0
HBASE-15075	0	2	0	3	0	4	0
HBASE-15075	2	445	1	3	1	4	0
HBASE-1118	0	17	0	3	0	1	0
HBASE-1118	17	48	1	2	0	1	1
HBASE-20334	0	21	0	3	0	7	0
HBASE-20334	21	76	1	3	1	7	0
HBASE-11957	0	15	1	2	1	1	0
HBASE-16741	0	4	1	3	1	7	0
HBASE-12749	0	1	1	3	1	1	0
HBASE-15135	0	2	0	3	0	2	0
HBASE-15135	2	33	1	3	1	2	0
HBASE-9872	0	3	1	3	1	1	0
