issuekey	start_date	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload	start	end	is_dead	should_censor
CLOUDSTACK-10063	2017-09-04	3	1	unassigned	0	0	0	1	1	0	1	0	0	NA	0	365	0	0
CLOUDSTACK-10063	2017-09-04	3	1	unassigned	0	0	0	1	1	0	1	0	0	NA	365	703	0	1
CLOUDSTACK-1015	2013-01-18	1	1	unassigned	0	0	0	0	0	0	0	0	0	NA	0	4	0	0
CLOUDSTACK-1015	2013-01-22	1	1	unassigned	0	1	0	0	0	0	0	0	0	NA	4	28	0	0
CLOUDSTACK-1015	2013-02-15	1	1	unassigned	0	1	0	0	0	0	0	0	0.25	NA	28	55	0	0
CLOUDSTACK-1015	2013-03-14	1	1	unassigned	0	1	0	0	0	0	0	0	0.2	NA	55	64	0	0
CLOUDSTACK-1015	2013-03-23	1	1	unassigned	0	1	0	0	0	0	0	0	0.4	NA	64	152	0	0
CLOUDSTACK-1015	2013-06-19	1	1	unassigned	0	1	0	0	0	0	0	0	0.6	NA	152	154	0	0
CLOUDSTACK-1015	2013-06-21	1	1	alena1108	1	2	0	0	0	0	0	0	0.8	1	154	155	1	0
CLOUDSTACK-10256	2018-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10256	2018-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	365	557	0	1
CLOUDSTACK-10262	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	15	0	0
CLOUDSTACK-10262	2018-02-16	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	15	46	0	0
CLOUDSTACK-10262	2018-03-19	3	5	unassigned	0	2	0	0	0	0	0	0	0	NA	46	51	0	0
CLOUDSTACK-10262	2018-03-24	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	51	365	0	0
CLOUDSTACK-10262	2018-03-24	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10263	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	11	0	0
CLOUDSTACK-10263	2018-02-12	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	11	365	0	0
CLOUDSTACK-10263	2018-02-12	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10264	2018-02-01	3	5	unassigned	0	0	0	0	0	0	1	0	0	NA	0	365	0	0
CLOUDSTACK-10264	2018-02-01	3	5	unassigned	0	0	0	0	0	0	1	0	0	NA	365	553	0	1
CLOUDSTACK-10265	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10265	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10266	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10266	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10267	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10267	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-1058	2013-01-24	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	1	0	0
CLOUDSTACK-1058	2013-01-25	3	1	bhaisaab	1	0	0	1	0	0	0	0	0	1	1	4	0	0
CLOUDSTACK-1058	2013-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	1	4	22	0	0
CLOUDSTACK-1058	2013-02-15	3	1	unassigned	0	0	0	1	0	0	0	0	0.25	1	22	49	0	0
CLOUDSTACK-1058	2013-03-14	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	1	49	58	0	0
CLOUDSTACK-1058	2013-03-23	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	1	58	59	1	0
CLOUDSTACK-1137	2013-02-01	3	1	unassigned	0	0	0	1	1	0	0	0	0	NA	0	13	0	0
CLOUDSTACK-1137	2013-02-14	3	1	minchen07	1	2	0	1	1	0	0	0	0	1	13	14	0	0
CLOUDSTACK-1137	2013-02-15	3	1	minchen07	1	5	0	1	1	0	0	0	0.25	1	14	15	1	0
CLOUDSTACK-1143	2013-02-02	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	0	12	0	0
CLOUDSTACK-1143	2013-02-14	4	3	sebgoa	1	3	0	1	0	0	0	0	0.5	1	12	13	1	0
CLOUDSTACK-1213	2013-02-08	4	6	unassigned	0	0	0	1	0	0	0	0	0	NA	0	3	0	0
CLOUDSTACK-1213	2013-02-11	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	3	365	0	0
CLOUDSTACK-1213	2013-02-11	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	365	822	0	1
CLOUDSTACK-1213	2015-05-11	4	3	unassigned	0	1	0	1	0	0	0	0	0.5	NA	822	823	1	1
CLOUDSTACK-1678	2013-03-14	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	NA	0	9	0	0
CLOUDSTACK-1678	2013-03-23	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	NA	9	97	0	0
CLOUDSTACK-1678	2013-06-19	3	1	alena1108	1	1	0	1	0	0	0	0	0.6	1	97	98	1	0
CLOUDSTACK-1819	2013-03-27	2	1	kishan	1	4	0	1	1	0	1	0	0	1	0	2	0	0
CLOUDSTACK-1819	2013-03-29	3	1	kishan	1	7	0	1	1	1	1	0	0	1	2	69	0	0
