,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
282,1,3,7,*0,  1,  0, 0, 0,0, 0,0,0.74458874, 4
338,1,3,*3,1,  7,  0, 0, 1,0, 0,1,0.82051282, 8
353,1,3,*2,1, 18,  1, 1, 1,0, 0,1,0.69372694, 6
367,3,3,1,1,  9,  0,* 1, 1,0, 0,1,*0.44444444,* 1
369,9,*3,*1,1,*  9,*  0,* 1, 1,0,* 0,*2,*0.55555556,* 1
432,1,4,4,1,  8,  0, 1, 1,0, 0,1,*0.20000000, 1
505,1,3,*2,1, 17,  2, 0, 1,0, 0,1,0.65914787, 4
693,1,3,*7,1,  5,  0, 0, 1,0, 0,0,0.71428571,23
1143,1,3,*2,1,  6,  0, 3, 1,0, 0,1,0.88628763, 9
1503,2,3,*2,1,  5,  0, 0, 1,0, 0,1,*0.08695652, 5
1813,1,3,*7,1,  8,  1, 1, 1,0, 0,1,0.82456140, 8
1816,1,3,*6,1,  3,  1, 0, 1,0, 0,1,0.80645161,20
2001,1,4,1,1, 14,  1, 5,* 1,0, 0,1,0.25000000, 3
2030,2,*4,*4,1, 11,  0, 0, 1,0, 0,1,0.89583333, 7
2059,1,3,4,1, 10,  0, 0, 1,0, 0,1,*0.16000000, 2
2360,1,3,*2,1, 18,  4, 0, 1,0, 0,1,0.60457516,26
2413,1,3,4,1, 44,  0, 1, 1,0,* 6,2,0.50000000, 1
2418,1,*5,1,1,  2,  0, 0, 1,0, 0,1,0.85416667, 9
2425,1,3,*6,1, 11,  1, 0, 1,0, 0,1,0.80645161,13
2831,1,*4,1,1, 23,  0, 1, 2,0, 0,1,0.40000000, 2
2834,5,*4,*1,1, 27,  0,* 1,* 2,0, 0,*1,0.40000000, 2
2837,10,*4,*1,1,* 33,*  0,* 1,* 2,0,* 0,*1,*0.40000000,* 2
2849,2,*4,1,1, 35,  0, 1, 1,0, 0,3,0.40000000,* 1
2858,2,*4,1,1, 38,  0, 1, 0,0, 0,*4,0.53846154, 1
2860,1,*4,1,1, 38,  0, 1, 0,0, 0,4,0.57142857, 1
2861,2,*4,1,1, 38,  0, 1, 0,0, 0,4,0.53333333,* 1
2863,4,*4,1,1, 38,  0, 1,* 0,0, 0,*4,0.56250000,* 1
2864,5,*4,1,1,* 38,  0, 1,* 0,0, 0,*4,0.62500000,* 1
2879,1,*5,1,1, 28,  0, 1, 0,0, 0,0,0.81578947, 2
2886,1,*5,1,1, 40,  0, 1, 1,0, 0,1,0.81250000, 2
2938,1,*5,7,1,  3,  1, 1, 1,1, 0,0,0.87179487, 7
2958,1,3,*2,1,  2,  0, 0, 1,0, 0,0,0.59649123, 8
3102,1,4,1,1,  4,  0, 1, 0,*1, 0,0,0.77852349, 9
3117,1,*5,7,1,  0,  0, 0, 1,0, 0,0,0.75838926,12
3368,1,3,7,*0,  0,  0, 0, 1,0, 0,0,0.76033058,10
3712,1,3,*6,1,  3,  0, 1, 1,0, 0,0,0.50000000, 2
3848,1,4,*2,1, 18,  0, 0, 1,0, 0,1,0.66666667, 1
3956,1,3,*3,1,  4,  0, 0, 0,0, 0,0,0.85227273,21
4268,4,3,*4,1, 15,*  1,* 1, 1,0, 0,1,0.84684685,* 9
4269,1,3,*4,1, 15,  1, 1, 1,0, 0,1,0.83620690, 9
4273,3,3,*7,1, 16,  1, 1,* 0,0, 0,*2,0.84745763, 8
4275,3,3,*7,1, 18,  2, 1,* 0,0, 0,*2,0.83739837, 8
4276,1,3,*7,1, 18,  2, 1, 0,0, 0,2,0.85365854, 8
4291,4,3,*7,1, 21,*  2,* 1, 0,0, 0,2,0.85714286,* 8
4320,1,3,1,1,  5,  0, 4,* 0,0, 1,0,0.42857143,29
4393,1,3,*2,1, 16,  1, 1, 1,0, 0,1,0.76000000, 4
4400,1,*5,1,1,  4,  1, 1, 0,0, 0,0,0.78571429, 4
4418,1,3,*3,1, 11,  1, 0, 1,0, 0,2,0.88888889,11
4427,1,3,*3,1, 11,  2, 0, 1,0, 0,1,0.88311688,11
4944,1,*1,1,1,  2,  0, 0, 1,0, 0,0,0.61702128, 6
5171,1,4,4,1, 28,  0, 1, 1,*1, 0,1,0.58041958, 4
5436,2,3,*7,1,* 14,  0, 0, 1,0, 0,1,0.86206897, 6
5613,1,3,*5,1, 12,  1, 0, 0,0, 0,0,0.60000000, 9
5616,1,3,*5,1, 18,  1, 0, 2,0, 0,1,0.80000000, 9
6029,1,*4,1,1,  2,  1, 1, 1,0, 0,1,0.50000000, 7
6040,1,3,1,1, 15,*  2, 0, 1,0, 0,1,0.76923077, 3
6045,1,3,1,1, 17,  2, 0,* 3,0, 0,2,0.66666667, 3
6046,7,3,*1,1, 17,*  2,* 0,* 3,0,* 0,2,*0.72222222,* 3
6047,10,*3,*1,1,* 19,*  3,* 0,* 3,0,* 0,*2,*0.72222222,* 3
6048,5,3,1,1, 19,*  3,* 0,* 3,0, 0,2,*0.68421053,* 3
6049,3,3,1,1, 19,*  3, 0,* 3,0, 0,2,0.65000000,* 3
6141,1,3,*2,1,  7,  4, 0, 1,0, 0,1,0.85283019,21
6223,1,3,*7,1,  6,  0, 0, 1,0, 0,1,0.86206897, 7
6464,1,3,*3,1,  7,  1, 0, 1,0, 0,1,0.72727273,12
6881,1,*5,1,1,  6,  1, 0, 1,0, 1,1,0.72941176,15
6888,1,*5,1,1,  7,  0, 0, 1,0, 1,1,0.72727273,15
6892,1,*1,7,1,  1,  0, 1, 2,0, 0,1,0.69863014,35
6893,1,*1,7,1,  3,  0, 1, 2,0, 0,1,0.69863014,34
6894,1,*1,7,1,  5,  0, 1, 2,0, 0,1,0.69863014,34
6919,2,3,*7,1,  8,  0,* 1, 1,0, 0,1,0.86407767,20
