issuekey	start_date	start	end	is_dead	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload
CLOUDSTACK-10063	2017-09-04	0	703	0	3	1	unassigned	0	0	0	1	1	0	1	0	0.0	
CLOUDSTACK-1015	2013-01-18	0	4	0	1	1	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-1015	2013-01-22	4	28	0	1	1	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-1015	2013-02-15	28	55	0	1	1	unassigned	0	1	0	0	0	0	0	0	0.25	
CLOUDSTACK-1015	2013-03-14	55	64	0	1	1	unassigned	0	1	0	0	0	0	0	0	0.2	
CLOUDSTACK-1015	2013-03-23	64	152	0	1	1	unassigned	0	1	0	0	0	0	0	0	0.4	
CLOUDSTACK-1015	2013-06-19	152	154	0	1	1	unassigned	0	1	0	0	0	0	0	0	0.6	
CLOUDSTACK-1015	2013-06-21	154	155	1	1	1	alena1108	1	2	0	0	0	0	0	0	0.8	1.0
CLOUDSTACK-10256	2018-01-28	0	557	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-10262	2018-02-01	0	15	0	3	5	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-10262	2018-02-16	15	46	0	3	5	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-10262	2018-03-19	46	51	0	3	5	unassigned	0	2	0	0	0	0	0	0	0.0	
CLOUDSTACK-10262	2018-03-24	51	553	0	3	5	unassigned	0	3	0	0	0	0	0	0	0.0	
CLOUDSTACK-10263	2018-02-01	0	11	0	3	5	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-10263	2018-02-12	11	553	0	3	5	unassigned	0	1	0	0	0	0	0	0	0.0	
CLOUDSTACK-10264	2018-02-01	0	553	0	3	5	unassigned	0	0	0	0	0	0	1	0	0.0	
CLOUDSTACK-10265	2018-02-01	0	553	0	3	5	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-10266	2018-02-01	0	553	0	3	5	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-10267	2018-02-01	0	553	0	3	5	unassigned	0	0	0	0	0	0	0	0	0.0	
CLOUDSTACK-1058	2013-01-24	0	1	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-1058	2013-01-25	1	4	0	3	1	bhaisaab	1	0	0	1	0	0	0	0	0.0	1.0
CLOUDSTACK-1058	2013-01-28	4	22	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.0	1.0
CLOUDSTACK-1058	2013-02-15	22	49	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.25	1.0
CLOUDSTACK-1058	2013-03-14	49	58	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	1.0
CLOUDSTACK-1058	2013-03-23	58	59	1	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	1.0
CLOUDSTACK-1137	2013-02-01	0	13	0	3	1	unassigned	0	0	0	1	1	0	0	0	0.0	
CLOUDSTACK-1137	2013-02-14	13	14	0	3	1	minchen07	1	2	0	1	1	0	0	0	0.0	1.0
CLOUDSTACK-1137	2013-02-15	14	15	1	3	1	minchen07	1	5	0	1	1	0	0	0	0.25	1.0
CLOUDSTACK-1143	2013-02-02	0	12	0	4	3	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-1143	2013-02-14	12	13	1	4	3	sebgoa	1	3	0	1	0	0	0	0	0.5	1.0
CLOUDSTACK-1213	2013-02-08	0	3	0	4	6	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-1213	2013-02-11	3	822	0	4	3	unassigned	0	0	0	1	0	0	0	0	0.0	
CLOUDSTACK-1213	2015-05-11	822	823	1	4	3	unassigned	0	1	0	1	0	0	0	0	0.5	
CLOUDSTACK-1678	2013-03-14	0	9	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	
CLOUDSTACK-1678	2013-03-23	9	97	0	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	
CLOUDSTACK-1678	2013-06-19	97	98	1	3	1	alena1108	1	1	0	1	0	0	0	0	0.6	1.0
CLOUDSTACK-1819	2013-03-27	0	2	0	2	1	kishan	1	4	0	1	1	0	1	0	0.0	1.0
CLOUDSTACK-1819	2013-03-29	2	69	0	3	1	kishan	1	7	0	1	1	1	1	0	0.0	1.0
CLOUDSTACK-1819	2013-06-04	69	176	0	3	1	kishan	1	7	0	2	1	1	1	1	0.0	1.0
CLOUDSTACK-1819	2013-09-19	176	197	0	3	1	kishan	1	7	0	2	1	1	1	2	0.0	1.0
CLOUDSTACK-1819	2013-10-10	197	203	0	3	1	kishan	1	7	0	2	1	1	1	3	0.0	1.0
CLOUDSTACK-1819	2013-10-16	203	215	0	3	1	kishan	1	7	0	2	1	1	1	4	0.0	1.0
CLOUDSTACK-1819	2013-10-28	215	217	0	2	1	kishan	1	7	0	2	1	2	1	4	0.0	1.0
