issuekey	days	death	priority	issuetype	reporterrep	no_fixversion	no_issuelink	no_affectversion
ACCUMULO-1085	647	1	3	5	2.0	1	4	0
ACCUMULO-1177	680	1	3	4	1.0	1	2	0
ACCUMULO-1197	595	1	3	4	1.0	1	3	0
ACCUMULO-1259	715	1	2	1	2.0	1	2	0
ACCUMULO-1276	28	1	3	1	2.0	1	0	1
ACCUMULO-1277	0	1	3	1	1.0	2	0	1
ACCUMULO-1281	0	1	5	4	2.0	1	0	0
ACCUMULO-1282	0	1	4	1	1.0	1	0	1
ACCUMULO-1283	0	1	5	1	2.0	1	0	0
ACCUMULO-1284	0	1	4	1	2.0	1	0	0
ACCUMULO-1287	29	1	5	1	2.0	1	0	1
ACCUMULO-1289	11	1	4	4	1.0	1	0	0
ACCUMULO-1292	645	1	3	1	1.0	2	0	3
ACCUMULO-1293	1	1	2	5	2.0	1	0	0
ACCUMULO-1295	189	1	4	4	1.0	1	0	0
ACCUMULO-1299	158	1	3	4	1.0	2	0	0
ACCUMULO-1304	1	1	3	4	1.0	1	0	0
ACCUMULO-1305	6	1	3	5	1.0	2	0	0
ACCUMULO-1306	0	1	3	4	1.0	1	0	0
ACCUMULO-1307	209	1	3	4	1.0	1	0	0
ACCUMULO-1309	196	1	3	4	1.0	1	0	0
ACCUMULO-1311	645	1	3	4	1.0	1	1	1
ACCUMULO-1312	102	1	3	1	2.0	1	2	1
ACCUMULO-1313	56	1	3	4	2.0	1	2	0
ACCUMULO-1314	1	1	3	5	1.0	1	1	0
ACCUMULO-1315	4	1	3	5	2.0	1	0	0
ACCUMULO-1316	16	1	3	5	2.0	1	0	0
ACCUMULO-1317	0	1	3	1	1.0	1	1	0
ACCUMULO-1318	687	1	3	5	2.0	1	1	0
ACCUMULO-1319	0	1	3	5	2.0	1	3	0
ACCUMULO-1320	28	1	3	3	2.0	1	1	0
ACCUMULO-1321	54	1	1	5	2.0	1	1	0
ACCUMULO-1323	0	1	3	1	2.0	1	0	0
ACCUMULO-1324	5	1	4	4	2.0	1	0	0
ACCUMULO-1326	0	1	3	1	1.0	1	0	0
ACCUMULO-1503	160	1	3	3	2.0	0	1	0
ACCUMULO-1546	56	1	3	3	1.0	0	0	0
ACCUMULO-3635	34	1	3	3	1.0	0	0	0
ACCUMULO-41	79	1	3	3	1.0	2	0	0
ACCUMULO-668	2	1	3	1	1.0	1	0	0
ACCUMULO-669	0	1	3	1	1.0	1	0	0
ACCUMULO-670	246	1	3	4	1.0	1	0	1
ACCUMULO-672	97	1	3	1	1.0	1	0	0
ACCUMULO-674	66	1	4	4	1.0	1	0	1
ACCUMULO-675	17	1	5	1	1.0	2	0	2
ACCUMULO-676	46	1	4	1	2.0	2	0	1
ACCUMULO-677	180	1	4	4	1.0	1	0	2
ACCUMULO-678	1	1	4	1	2.0	2	0	1
ACCUMULO-679	0	1	3	1	2.0	1	0	0
ACCUMULO-681	91	1	1	1	3.0	2	0	0
ACCUMULO-682	2	1	4	1	1.0	2	1	1
ACCUMULO-87	75	1	3	4	1.0	1	0	0
ACCUMULO-898	695	1	3	4	3.0	1	4	0
ACCUMULO-970	464	1	1	3	1.0	1	0	0
ACCUMULO-991	5	1	3	5	1.0	1	0	0
ACE-113	1177	1	3	4	1.0	1	0	1
ACE-114	1177	1	3	4	1.0	1	0	0
ACE-115	1176	1	3	5	2.0	1	0	0
ACE-137	1094	1	3	2	2.0	1	0	0
ACE-147	1071	1	3	2	2.0	1	1	0
ACE-161	988	1	3	3	2.0	1	1	0
ACE-163	988	1	3	3	2.0	1	0	0
ACE-178	959	1	3	3	3.0	1	0	0
ACE-280	329	1	3	3	3.0	1	0	0
ACE-281	329	1	3	5	3.0	1	0	0
ACE-282	329	1	3	5	3.0	1	0	0
ACE-283	329	1	3	5	3.0	1	0	0
ACE-284	329	1	3	5	3.0	1	0	0
ACE-340	365	1	3	1	1.0	1	0	0
ACE-342	363	1	3	2	2.0	1	0	0
ACE-77	1546	1	3	2	3.0	1	0	0
AIRAVATA-1295	17	1	3	5	1.0	0	0	1
AIRAVATA-1296	32	1	3	5	1.0	0	0	1
AIRAVATA-433	820	1	3	5	1.0	1	0	1
AIRAVATA-468	911	1	3	5	1.0	1	0	0
AIRAVATA-495	896	1	3	4	1.0	1	0	1
AIRAVATA-507	2	1	1	1	2.0	1	0	1
AIRAVATA-508	3	1	1	1	1.0	1	0	1
AIRAVATA-509	2	1	1	1	1.0	1	0	1
AIRAVATA-510	0	1	3	1	2.0	1	0	1
AIRAVATA-512	754	1	4	1	1.0	1	0	1
AIRAVATA-513	752	1	4	5	1.0	1	0	0
AIRAVATA-608	904	1	3	3	1.0	1	0	0
AIRAVATA-629	888	1	3	1	1.0	1	0	1
AIRAVATA-714	830	1	3	1	2.0	1	0	1
AIRAVATA-723	694	1	3	1	2.0	1	0	1
AIRAVATA-733	843	1	4	1	1.0	1	0	1
AIRAVATA-767	663	1	3	1	2.0	1	0	0
AIRAVATA-774	21	1	1	2	1.0	0	0	1
AIRAVATA-789	761	1	3	1	2.0	1	0	1
AIRAVATA-824	1	1	3	1	2.0	1	0	1
AIRAVATA-826	3	1	3	1	2.0	1	0	1
AIRAVATA-827	11	1	3	4	2.0	1	0	1
AIRAVATA-828	124	1	3	2	1.0	1	0	0
AIRAVATA-829	5	1	3	1	2.0	1	0	1
AIRAVATA-917	5	1	3	5	2.0	1	1	0
AIRAVATA-927	21	1	3	5	2.0	1	1	0
AMBARI-10048	0	1	1	1	4.0	1	0	1
AMBARI-10069	4	1	2	3	4.0	1	0	1
AMBARI-10149	5	1	2	3	4.0	1	0	1
AMBARI-10220	4	1	1	3	4.0	1	0	1
AMBARI-10236	4	1	3	1	4.0	1	1	1
AMBARI-10243	3	1	2	1	4.0	1	0	1
AMBARI-10286	0	1	3	3	4.0	1	0	1
AMBARI-10287	0	1	3	3	4.0	1	0	1
AMBARI-10322	0	1	2	3	4.0	1	0	1
AMBARI-10368	4	1	2	3	4.0	1	0	1
AMBARI-10395	2	1	3	3	4.0	1	0	1
AMBARI-10422	3	1	3	3	4.0	1	0	1
AMBARI-10447	0	1	1	1	4.0	1	0	1
AMBARI-10458	2	1	3	3	4.0	1	0	1
AMBARI-10459	1	1	3	3	4.0	1	0	1
AMBARI-10491	12	1	2	3	4.0	1	0	1
AMBARI-10508	14	1	2	3	4.0	1	0	1
AMBARI-10569	0	1	3	3	4.0	1	0	1
AMBARI-10637	2	1	1	3	4.0	1	0	1
AMBARI-10747	6	1	2	3	4.0	1	0	1
AMBARI-10781	2	1	3	3	4.0	1	0	1
AMBARI-10819	1	1	3	1	4.0	1	0	1
AMBARI-10901	1	1	3	3	4.0	1	0	1
AMBARI-10902	1	1	3	3	4.0	1	0	1
AMBARI-10946	0	1	1	3	4.0	1	0	1
AMBARI-11043	0	1	1	1	4.0	1	0	1
AMBARI-11175	0	1	1	3	4.0	1	0	1
AMBARI-11206	0	1	1	3	4.0	1	0	1
AMBARI-11346	0	1	1	3	4.0	1	0	1
AMBARI-11348	4	1	1	3	4.0	1	0	1
AMBARI-11403	0	1	3	1	4.0	1	0	1
AMBARI-11513	0	1	2	3	4.0	1	0	1
AMBARI-11514	0	1	2	3	4.0	1	0	1
AMBARI-11521	0	1	3	3	4.0	1	0	1
AMBARI-11543	0	1	1	1	4.0	1	0	1
AMBARI-11549	87	1	4	1	1.0	1	0	1
AMBARI-11554	82	1	4	1	1.0	1	0	1
AMBARI-11597	1	1	3	1	4.0	1	0	1
AMBARI-11633	0	1	2	1	4.0	1	0	1
AMBARI-11635	9	1	3	1	4.0	1	0	1
