"","Count","priority","issuetype","link_count","affect_count","fix_count","has_priority_change","has_desc_change","has_fix_change","reporter_rep","assignee_workload"
"1523",1,"4","*6"," 0"," 1","0","0","0"," 0","58.82353"," 8"
"3786",1,"3","*6"," 0"," 0","1","0","1"," 0","77.74725","12"
"4154",1,"3","*6"," 0"," 0","0","0","0"," 0","76.81159"," 8"
"11664",1,"3","*3"," 0"," 2","1","0","0"," 4","82.35294"," 4"
"12773",1,"3","4"," 2"," 0","2","*3","0"," 4","84.60177"," 2"
"12888",1,"3","*5"," 1"," 0","0","0","1"," 0","86.88334"," 8"
"13113",1,"3","*6"," 0"," 0","0","0","0"," 0","78.47411","12"
"14217",1,"4","*5"," 2"," 0","0","0","0"," 4","88.57143"," 8"
"20607",1,"3","*6"," 0"," 0","2","0","0"," 0","77.97927"," 8"
"24262",1,"5","*5"," 0"," 1","0","0","0"," 0","65.11628"," 8"
"24832",2,"1","1"," 7"," 0","1","*3","0","* 8","86.65298","34"
"25313",2,"3","1"," 0"," 0","0","*1","*2"," 0","68.42105","10"
"25442",1,"2","1"," 0"," 1","2","0","0","* 9","86.16071","31"
"26311",1,"1","3"," 2"," 0","0","*4","0"," 3","89.70332","32"
"26390",1,"4","*6"," 0"," 1","1","0","0"," 0","30.43478"," 8"
"26842",1,"3","1"," 0"," 1","0","0","0","*12","78.78788"," 1"
"26941",1,"3","*2"," 0"," 0","0","0","0"," 0","75.00000"," 2"
"27790",1,"3","2"," 1"," 1","6","0","0","*12","83.99413","11"
"28119",1,"2","*6"," 0"," 1","0","0","1"," 0"," 0.00000"," 8"
"29385",1,"1","*5","12"," 0","1","1","0"," 2","73.83721","29"
"33164",1,"3","4"," 0"," 1","0","0","*3"," 0"," 0.00000"," 2"
"33165",1,"3","4"," 1"," 1","0","0","*3"," 0"," 0.00000"," 2"
"37452",1,"3","*6"," 0"," 1","2","0","0"," 1","75.21515"," 8"
"41015",1,"3","*5","18"," 0","1","0","0"," 2","90.27544"," 8"
"41676",1,"3","*5"," 0"," 1","0","0","1"," 0"," 0.00000"," 8"
"42735",1,"3","3"," 7"," 0","0","0","*4"," 5","58.33333"," 6"
"42818",2,"3","*5"," 5"," 1","2","0","*4"," 0","60.00000"," 7"
"43558",1,"3","1"," 0"," 1","0","0","0","* 7","82.35294"," 4"
"44991",1,"2","7"," 2"," 0","2","1","0","* 9","86.77249","48"
"45172",1,"4","*5"," 0"," 0","0","0","0"," 0","62.92135"," 8"
"45439",1,"5","*6"," 0"," 1","1","0","0"," 0","32.55814","17"
"45976",1,"3","3"," 1"," 0","0","0","*4"," 0","88.60465","33"
"51370",1,"2","*6"," 1"," 1","3","1","1"," 3","84.11371","46"
"51526",1,"4","*6"," 0"," 0","3","0","0"," 3","83.94649"," 2"
"55084",1,"4","*6"," 0"," 1","0","0","0"," 0","88.92508"," 8"
"57465",1,"3","4"," 1"," 0","0","*2","0"," 2","75.21515"," 3"
"58529",1,"3","*5"," 3"," 0","0","0","0"," 1","86.79365"," 8"
"66101",1,"3","*6"," 0"," 0","0","0","0"," 0","88.92508"," 8"
"68252",1,"3","*5"," 0"," 2","2","0","0"," 0","84.52830","15"
"68691",1,"4","*6"," 0"," 1","1","0","0"," 0","43.13725","18"
"68841",1,"3","*6"," 0"," 0","0","0","0"," 0","83.55899"," 8"
"69689",1,"3","*6"," 1"," 0","3","0","0"," 1","80.31088","46"
"72554",1,"3","*5"," 2"," 1","1","0","1"," 0","92.00000"," 3"
"74813",1,"3","*5"," 7"," 1","0","0","0"," 0","92.20779"," 4"
"78064",1,"3","3"," 1"," 0","3","*2","0"," 0","84.60076","10"
"86136",1,"3","*5"," 0"," 0","0","0","0"," 0","89.81818"," 8"
"86311",1,"*5","1"," 0"," 2","2","1","0"," 0","86.97183","11"
"87968",1,"*5","1"," 0"," 0","3","0","0"," 1","82.08955","41"
"88017",1,"4","*6"," 1"," 0","3","0","0"," 3","83.40875"," 3"
"88657",1,"3","1"," 0"," 2","1","0","0","*12","92.12329"," 9"
"89216",1,"3","*5"," 2"," 0","0","0","0"," 0","91.37931","14"
"107637",1,"3","7"," 0"," 2","2","0","0","*10","63.63636"," 3"
"108703",1,"3","*6"," 0"," 0","0","0","0"," 0","54.05405","31"
"108858",1,"3","*5"," 0"," 0","0","0","0"," 0","88.78505"," 8"
"111774",1,"3","*5"," 0"," 0","0","0","0"," 0","91.14286"," 8"
"112172",1,"4","*5"," 4"," 0","1","0","1"," 0","83.40875","13"
"114712",1,"3","*5"," 0"," 0","0","0","0"," 0","88.92734"," 8"
"123889",1,"3","*5"," 1"," 0","0","0","0"," 0","50.00000"," 8"
"128252",1,"2","*6"," 0"," 1","2","1","0"," 0","74.85714"," 2"
"129073",1,"3","*5"," 4"," 1","0","0","0"," 1","81.63265"," 8"
"129323",1,"3","1"," 0"," 2","0","0","*3"," 0","33.33333"," 1"
"130084",1,"3","7"," 0"," 2","3","0","0","*12","50.63291","17"
"131286",1,"3","*5"," 0"," 0","0","0","0"," 0","88.78505"," 8"
