,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
92,1,3,*6,1,  6, 0, 0, 1,0,0, 1,0.57142857,11
222,1,3,*2,1,  3, 0, 1, 1,0,1, 0,0.40000000, 8
251,1,5,*5,1,  1, 0, 0, 0,0,0, 0,0.61111111, 5
294,1,3,*6,1, 17, 0, 0, 1,0,1, 1,0.78356164,11
394,1,3,*6,1, 11, 0, 0, 2,0,0, 1,0.76900585, 7
426,1,4,4,*0,  0, 1, 0, 0,0,1, 2,0.81927711,45
445,1,3,*2,1, 15, 1, 0, 0,0,0, 0,0.78977273,20
487,1,3,2,1, 76,*11, 0, 2,0,0, 2,0.90149254,17
505,1,3,4,*0, 15, 2, 1, 0,0,0, 5,0.63333333, 8
560,1,*5,1,1,  2, 0, 2, 2,0,0, 0,0.82700422,15
708,1,3,4,*0,  5, 1, 0, 0,0,0, 1,0.75215146,45
759,1,4,*6,1,  1, 0, 0, 0,0,0, 0,0.80670103,12
764,1,5,*6,1,  7, 0, 4, 0,0,0, 0,0.74509804, 3
825,1,*5,1,1,  4, 0, 0, 4,0,0, 1,0.57291667,10
836,1,4,*6,1,  3, 0, 0, 0,0,0, 0,0.93832599, 7
841,1,4,*6,1,  3, 1, 0, 0,0,0, 0,0.95940959, 5
892,1,4,*6,1,  8, 0, 0, 2,0,0, 1,0.78356164,13
910,1,3,1,1, 14, 2, 3, 0,0,*2, 0,0.76923077,16
1055,1,3,*2,1,  5, 0, 1, 1,0,0, 1,0.71543086, 7
1281,1,3,*6,1,  8, 0, 0, 2,0,0, 1,0.76770538,11
1302,1,3,*3,1, 37, 0, 2, 1,0,0, 5,0.82352941, 4
1313,1,3,1,*0, 16, 2, 2, 0,0,0, 4,0.66666667,16
1437,1,3,4,1,136, 2, 0, 1,*3,0, 6,0.83945841, 1
1560,1,3,*6,1,  6, 0, 0, 0,0,0, 0,0.78356164,12
1620,1,3,1,*0,  0, 1, 1, 0,0,0, 0,0.75215146,45
1624,1,5,4,1,  6, 0, 1, 1,0,*2, 0,0.45833333, 5
1689,1,3,7,*0, 10, 0, 0, 0,0,0, 0,0.82758621, 7
1801,2,4,*3,1, 37, 0, 0, 0,*1,0, 2,0.78201635,12
