,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
20,2,*5,1,1,  6, 0,0,1,0,*1, 1,0.33333333,10
1178,2,*1,1,1, 15, 0,1,1,1,*1, 1,0.76900585, 4
1196,2,*5,*2,0,  4, 0,1,1,0,0, 0,0.46511628, 8
1201,1,3,*6,1,  6, 0,0,1,0,0, 1,0.57142857,11
1267,1,3,*4,0,  1, 0,0,1,0,0, 0,0.86699507, 8
1278,1,3,4,1, 40, 1,1,*4,0,0, 1,0.64814815,16
1282,1,*5,1,1,  8, 0,2,2,0,0, 0,0.82978723,16
1285,1,*5,1,1,  4, 0,2,2,0,0, 0,0.82832618,16
1289,4,3,*1,*1, 40, 0,*0,3,0,0, 1,0.82211538,* 7
1290,2,3,1,1,* 74, 0,0,3,0,0, 1,0.82211538,* 7
1291,3,3,1,1,* 92, 0,0,3,0,0,* 1,0.82211538,* 7
1293,1,3,1,1,*108, 0,0,0,0,0, 2,0.82211538, 7
1404,2,3,1,1, 37,* 2,2,1,*1,0, 3,0.85546875,13
1420,1,4,*6,0,  1, 1,1,0,0,0, 0,0.62745098, 8
1662,5,*4,*7,*0,  5,* 2,0,0,0,*1, 0,0.73928571, 8
1672,1,3,*4,1,  9, 0,2,2,0,0, 0,0.83404255,14
2558,1,4,1,1,  2, 0,0,3,0,0, 1,*0.93750000, 6
2567,2,3,*2,1,  3, 0,1,1,0,*1, 0,0.40000000,13
2765,3,*1,*3,1,  4, 1,0,1,*0,0, 0,0.72188139,53
2777,1,3,*7,1,  1, 0,2,0,0,0, 0,0.80319149,17
2778,1,3,*7,1,  3, 0,2,2,0,0, 1,0.80319149,17
2779,1,3,*7,1,  2, 0,2,2,0,0, 1,0.80319149,17
2780,1,3,*7,1,  2, 0,2,2,0,0, 1,0.80319149,17
2781,1,4,*7,1,  2, 0,2,2,0,0, 1,0.80319149,17
2783,2,*2,*7,1,  9, 0,2,2,0,0, 1,0.80952381,13
2784,1,5,*5,1,  1, 0,0,0,0,0, 0,0.61111111, 5
2852,1,3,*7,1,  6, 0,2,0,0,0, 0,0.83898305,12
